Año,Mes,Departamento,Municipio,Pasajeros Regulares
2012,Julio,Casanare,Yopal," 14,000 "
2012,Julio,Cauca,Guapi, 734 
2012,Julio,Cauca,Popayán," 3,365 "
2012,Julio,Cesar,San Martín, 7 
2012,Julio,Cesar,Valledupar," 13,863 "
2012,Julio,Chocó,Acandí, 468 
2012,Julio,Chocó,Bahía Solano," 1,274 "
2012,Julio,Chocó,Condoto, 244 
2012,Julio,Chocó,Nuquí, 665 
2012,Julio,Chocó,Quibdó," 11,548 "
2012,Julio,Córdoba,Montería," 23,557 "
2012,Julio,Guainía,Barranco Minas, -   
2012,Julio,Guainía,Inírida," 1,056 "
2012,Julio,Guaviare,Miraflores, 313 
2012,Julio,Guaviare,San José del Guaviare, 866 
2012,Julio,Huila,Neiva," 10,956 "
2012,Julio,La Guajira,Maicao," 3,136 "
2012,Julio,La Guajira,Riohacha," 3,986 "
2012,Julio,La Guajira,Uribia, 923 
2012,Julio,Magdalena,Santa Marta," 43,240 "
2012,Julio,Meta,La Macarena, 128 
2012,Julio,Meta,Puerto Gaitán, -   
2012,Julio,Meta,Puerto López, -   
2012,Julio,Meta,Uribe, -   
2012,Julio,Meta,Villavicencio," 2,691 "
2012,Julio,Nariño,Ipiales, 323 
2012,Julio,Nariño,Pasto," 9,860 "
2012,Julio,Nariño,San Andres de Tumaco," 2,767 "
2012,Julio,Norte de Santander,Cúcuta," 37,758 "
2012,Julio,Putumayo,Puerto Asís," 1,751 "
2012,Julio,Putumayo,Puerto Leguízamo, 492 
2012,Julio,Putumayo,Villagarzón, 600 
2012,Julio,Quindío,Armenia," 10,569 "
2012,Julio,Risaralda,Pereira," 37,052 "
2012,Julio,San Andrés y Providencia,Providencia, 904 
2012,Julio,San Andrés y Providencia,San Andrés," 39,719 "
2012,Julio,Santander,Barrancabermeja," 8,634 "
2012,Julio,Santander,Bucaramanga," 56,046 "
2012,Julio,Sin Especificar,Sin Especificar, -   
2012,Julio,Sucre,Corozal," 1,819 "
2012,Julio,Sucre,Coveñas, -   
2012,Julio,Sucre,Santiago de Tolú, 265 
2012,Julio,Tolima,Ibagué," 6,224 "
2012,Julio,Valle del Cauca,Buenaventura, 403 
